alignment;;;;;;;;;;;;;;;;;;;;;;;alignment;optional;optional_lim;;;;;;sort;optional;optional_lim;;strassen;optional;optional_lim
16;8141;900000;900000;8047;900000;900000;9134;9278;900000;9523;900000;900000;18437;3156;900000; ;;;;;;;;;;;;;;;;;;;;;
32;8141;900000;900000;8047;900000;900000;9134;9295;900000;9523;900000;900000;18437;4578;900000; ;;;;;;;;;;;;;;;;;;;;;
64;8141;900000;900000;8047;900000;900000;9134;9179;900000;9523;900000;900000;18437;4593;900000; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pyramids;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;20018;900000;900000;19830;24040;900000;19804;19784;29403;19604;24628;29327;13390;13578;99655; ;;;;;;;;;;;;;;;;;;;;;
2;20018;20493;20217;19830;17790;20434;19804;19803;20162;19604;900000;20241;13390;13031;78585; ;;;;;;;;;;;;;;;;;;;;;
4;20018;13130;12990;19830;12011;13287;19804;19808;14148;19604;13337;14345;13390;6828;28933; ;;;;;;;;;;;;;;;;;;;;;
8;20018;11063;11322;19830;10184;11268;19804;19804;11763;19604;10295;11802;13390;3718;12885; ;;;;;;;;;;;;;;;;;;;;;
16;20018;12454;12197;19830;11195;12158;19804;19913;12073;19604;11354;12109;13390;2234;7515; ;;;;;;;;;;;;;;;;;;;;;
32;20018;14517;14524;19830;13302;14276;19804;19824;14109;19604;12878;14055;13390;2156;36562; ;;;;;;;;;;;;;;;;;;;;;
64;20018;15003;14985;19830;13710;15105;19804;19809;14013;19604;13147;14360;13390;2468;49468; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
qap;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;1089;900000;900000;1115;342;900000;2105;2107;889;2204;412;942;3171;8484;900000; ;;;;;;;;;;;;;;;;;;;;;
2;1089;900000;900000;1115;62405;900000;2105;2113;9792;2204;100435;9522;3171;7796;900000; ;;;;;;;;;;;;;;;;;;;;;
4;1089;900000;900000;1115;56923;900000;2105;2118;7617;2204;86662;7626;3171;3859;900000; ;;;;;;;;;;;;;;;;;;;;;
8;1089;900000;900000;1115;90074;900000;2105;2106;6331;2204;97594;6935;3171;1999;900000; ;;;;;;;;;;;;;;;;;;;;;
16;1089;900000;900000;1115;86871;900000;2105;2105;7622;2204;160634;7705;3171;1093;900000; ;;;;;;;;;;;;;;;;;;;;;
32;1089;900000;900000;1115;163700;900000;2105;2111;8761;2204;150359;8899;3171;1312;900000; ;;;;;;;;;;;;;;;;;;;;;
64;1089;900000;900000;1115;152309;900000;2105;2114;9249;2204;184756;9029;3171;1343;900000; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
round;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;5120;4168;4109;5120;4839;4092;5121;5121;6932;5121;900000;6991;19046;21031;20734; ;;;;;;;;;;;;;;;;;;;;;
2;5120;2025;1993;5120;4804;2034;5121;5121;3173;5121;5138;3402;19046;17109;16874; ;;;;;;;;;;;;;;;;;;;;;
4;5120;1002;1007;5120;4770;1007;5121;5121;1553;5121;4836;1622;19046;8921;8968; ;;;;;;;;;;;;;;;;;;;;;
8;5120;522;520;5120;4751;511;5121;5121;798;5121;4767;790;19046;4328;4874; ;;;;;;;;;;;;;;;;;;;;;
16;5120;302;282;5120;4675;284;5121;5121;398;5121;4681;395;19046;2296;2468; ;;;;;;;;;;;;;;;;;;;;;
32;5120;175;185;5120;4520;191;5121;5121;208;5121;4547;203;19046;1203;1171; ;;;;;;;;;;;;;;;;;;;;;
64;5120;132;128;5120;4509;136;5121;5121;129;5121;4515;140;19046;1171;1187; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sort;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;16462;900000;900000;16462;17486;900000;16271;16274;4583;16354;900000;4352;17984;18484;900000; ;;;;;;;;;;;;;;;;;;;;;
2;16462;900000;900000;16462;11252;900000;16271;16319;8942;16354;900000;9246;17984;12218;900000; ;;;;;;;;;;;;;;;;;;;;;
4;16462;900000;900000;16462;7650;900000;16271;16259;6957;16354;900000;7047;17984;6140;900000; ;;;;;;;;;;;;;;;;;;;;;
8;16462;900000;900000;16462;6089;900000;16271;16258;5797;16354;900000;6322;17984;3078;900000; ;;;;;;;;;;;;;;;;;;;;;
16;16462;900000;900000;16462;6246;900000;16271;16294;7194;16354;900000;6767;17984;1546;900000; ;;;;;;;;;;;;;;;;;;;;;
32;16462;900000;900000;16462;8418;900000;16271;16305;8338;16354;900000;8308;17984;968;900000; ;;;;;;;;;;;;;;;;;;;;;
64;16462;900000;900000;16462;8366;900000;16271;16262;8081;16354;900000;7697;17984;953;900000; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sparselu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;13082;13599;13589;13095;6462;13956;12935;12926;13692;12631;6275;13284;11328;11359;11484; ;;;;;;;;;;;;;;;;;;;;;
2;13082;7427;7364;13095;4188;7099;12935;12923;7278;12631;5211;7233;11328;9078;9015; ;;;;;;;;;;;;;;;;;;;;;
4;13082;3829;3852;13095;1602;3785;12935;12923;3857;12631;2973;3766;11328;4609;4578; ;;;;;;;;;;;;;;;;;;;;;
8;13082;2057;2104;13095;846;2100;12935;12923;2107;12631;2119;2050;11328;2343;2374; ;;;;;;;;;;;;;;;;;;;;;
16;13082;1524;1464;13095;701;1474;12935;12925;1459;12631;1092;1492;11328;1234;1265; ;;;;;;;;;;;;;;;;;;;;;
32;13082;1111;1099;13095;564;1077;12935;12927;1058;12631;944;1023;11328;734;1406; ;;;;;;;;;;;;;;;;;;;;;
64;13082;1074;1019;13095;563;1152;12935;12922;1024;12631;963;995;11328;718;4015; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
strassen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;14192;900000;900000;14225;17047;900000;16159;16167;3179;16154;20274;3016;22265;22718;900000; ;;;;;;;;;;;;;;;;;;;;;
2;14192;900000;900000;14225;9015;900000;16159;16162;6567;16154;10554;6160;22265;20046;900000; ;;;;;;;;;;;;;;;;;;;;;
4;14192;900000;900000;14225;4915;900000;16159;16181;4455;16154;5780;4914;22265;10953;900000; ;;;;;;;;;;;;;;;;;;;;;
8;14192;900000;900000;14225;3079;900000;16159;16157;3806;16154;3589;4352;22265;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
16;14192;900000;900000;14225;2503;900000;16159;16172;4414;16154;6368;4135;22265;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
32;14192;900000;900000;14225;1819;900000;16159;16190;4705;16154;2443;5108;22265;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
64;14192;900000;900000;14225;1931;900000;16159;16194;4927;16154;2598;4997;22265;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
uts;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#Cores ;        clang:deferred ;        clang:optional ;           clang:async ; clang_limit64:deferred ; clang_limit64:optional ;   clang_limit64:async ;          gcc:deferred ;          gcc:optional ;             gcc:async ;  gcc_limit64:deferred ;  gcc_limit64:optional ;     gcc_limit64:async ;      win_x86:deferred ;      win_x86:optional ;         win_x86:async ; ;;;;;;;;;;;;;;;;;;;;;
1;17839;900000;900000;21407;695;900000;24344;24379;900000;24021;1131;900000;900000;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
2;17839;900000;900000;21407;900000;900000;24344;23909;900000;24021;9192;900000;900000;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
4;17839;900000;900000;21407;8043;900000;24344;23823;900000;24021;900000;900000;900000;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
8;17839;900000;900000;21407;7080;900000;24344;23857;900000;24021;900000;900000;900000;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
16;17839;900000;900000;21407;12922;900000;24344;23938;900000;24021;21513;900000;900000;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
32;17839;900000;900000;21407;15909;900000;24344;23850;900000;24021;900000;900000;900000;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
64;17839;900000;900000;21407;30423;900000;24344;23942;900000;24021;14611;900000;900000;900000;900000; ;;;;;;;;;;;;;;;;;;;;;
